Relative Humidity,Soil temp.,Soil Wetness,Max temp.,Min temp.,Average temp.,Rainfall,class 
68.19,17.58,0.27,30.72,11.54,19.94,0,0
69.19,18.74,0.34,31.36,12.27,21.15,15.82,0
72.88,18.59,0.38,32.35,13.04,21.74,26.37,0
78.19,17.78,0.46,31.23,14.23,21.67,58.01,1
73.75,18.05,0.48,31.15,13.94,21.46,58.01,0
61.56,19.27,0.4,31.69,10.92,22.13,15.82,0
56.62,20.22,0.3,35.24,14.04,23.44,5.27,0
66.38,20.32,0.37,34.52,14.14,23.5,42.19,0
74.44,19.3,0.48,33.13,15.41,22.45,42.19,0
80,17.69,0.48,31.75,14.8,21.36,73.83,1
78.75,16.62,0.47,29.87,12.54,19.78,0,1
75.94,16.24,0.39,29.25,10.7,19.31,5.27,0
75.5,16.88,0.37,31.67,10.81,19.6,5.27,0
72,17.96,0.31,31.87,12.15,20.93,0,0
69.69,18.57,0.37,31.87,12.48,21.39,31.64,0
75.62,18.67,0.45,30.55,14.79,21.62,36.91,0
63.12,19.04,0.34,32.11,13.08,22.23,0,0
65.44,19.07,0.37,33.52,12.95,22.36,21.09,0
60.25,20.44,0.3,34.16,14.71,23.51,10.55,0
70.38,19.74,0.48,31.69,15.83,22.46,63.28,0
81.44,18.01,0.55,31.29,14.17,21.12,147.66,1
82.06,17.29,0.62,28.22,11.74,20.09,94.92,1
75.38,17,0.48,29.1,11.56,19.58,0,0
77.38,16.54,0.38,29.11,12.16,19.11,0,0
74.5,17.09,0.35,31.24,11.11,20.1,5.27,0
70.19,17.98,0.33,31.06,12.06,20.64,10.55,0
71.81,18.87,0.42,31.3,13.02,21.49,58.01,0
84,17.1,0.62,29.7,15.15,20.74,221.48,1
81.31,17.07,0.67,27.72,14.83,20.27,152.93,1
73,17.57,0.63,29.54,12.79,20.13,21.09,0
65.5,18.93,0.5,33.33,13.24,22.05,15.82,0
67.19,19.43,0.46,32.83,14.56,22.44,31.64,0
77,18.87,0.48,31.59,15.78,22.17,73.83,0
80.81,17.48,0.51,29.78,14.33,20.96,63.28,1
81.19,16.28,0.47,29.7,11.55,19.8,0,1
81.12,15.62,0.41,30.75,11.73,19.3,31.64,1
81,16.19,0.47,29.23,12.21,19.55,15.82,1
